author,dates,likes,Comments
@rifatulanita3179,2024-07-10T03:05:43Z,49,"Ya Allah nangis lihat ini. Generasi Bangsa Indonesia yang luar biasa hebat2. Patut di Up yg kyk gini.. biar generasi muda mencontoh hal2 yang membanggakan, bukan hanya yg viral2 gak penting itu"
@kurniawatisholihat7564,2024-07-10T02:59:14Z,0,"Keren bgtt,,, gmna caranya anak""ku pgn kyk mereka ???"
@nfatrin,2024-07-10T02:55:34Z,0,Bangga liat anak anak muda indonesia yg berprestasi❤
@user-uc5tx9fv8g,2024-07-10T02:55:18Z,0,kalo aku ikut boleh minta soal flowchart aja ga ngitung tiket masuk diskon” gitu😇🙏🏻
@anisafitrianafitriana9426,2024-07-10T02:55:13Z,0,Keren kalian semuaaa ❤
@alifah658,2024-07-10T02:44:07Z,0,berharap bisa kecantol sedikit dari nontom vidio ini wkwk
@ryuulysm,2024-07-10T02:42:41Z,0,"Tanpa mengurangi rasa hormat, kenapa ya aku bosen sama acara ini? Apa karna aku bandingin sama original punya Koreanya? Di sana tegangnya dapet banget. Dan ngetrigger penonton buat belajar banget banget.
Di sini kebanyakan interviewnya, yang kebanyakan ngomongin soal perasaannya. Bahkan ada yang ngecengin peserta lain yang berusaha maju pertama walaupun salah pada akhirnya. Ada juga yang baru ronde pertama udah mau nyerah. Aduh ini Indonesia banget wkwkwk
Menurutku yang kayak gitu-gitu itu harusnya diedit aja gak perlu dimasukin 😂"
@gnananananas,2024-07-10T02:42:24Z,0,Aaaaaa seruuu
@nandaaprilia1299,2024-07-10T02:38:31Z,0,Kumpulan orang2 pinter ini seru lohh wkwwk
@ternakbisnis,2024-07-10T02:31:13Z,0,Semoga politik kita diisi orang orang pinter
@user-tp8cg3pn9s,2024-07-10T02:22:16Z,0,"Teknik sipil ipk 4 , wow"
@emiliaabdulaziz7468,2024-07-10T02:09:40Z,0,Nonton ini sy berasa menjadi remahan rengginang..
@alruna_germa,2024-07-10T02:05:47Z,0,"""takut dihujat netizen"" jangan takut kk kamu keren banget, mereka yang ngehujat kamu tuh value nya di bawah kk, dan pastinya mereka orang yang kurang pendidikan, menganggap sekolah dan ilmu pengetahuan yang di ajarin di sekolah sama universitas itu gk penting."
@fatinyakes3554,2024-07-10T02:00:17Z,0,"anak saya jadi semangat belajar, dan pengen berprestasi gara2 liat acara ini ^_^"
@ahlaamanymaulidya,2024-07-10T01:53:47Z,0,Ehh kok Edward ngomong gitu ya?
@sellaaryati9941,2024-07-10T01:45:07Z,0,Ternyata di kuliah aku hanya pelengkap swkwkwk😅
@ninis77100,2024-07-10T01:43:46Z,0,IQ penting tapi EQ & SQ jauh lebih penting
@aldyfl2390,2024-07-10T01:42:57Z,0,Nahhhhhh konten yg gini nih. Bermanfaat buat anak muda agar lebih semangat lagi belajarnya dlm untuk berprestasi & nantinya akan berguna bagi bangsa
@user-jq7kh6cm9f,2024-07-10T01:34:34Z,0,❤❤❤ ini acara keren
@insanadityapriana9932,2024-07-10T01:34:19Z,0,bluelock versi anak anak pintar 🤐🤐🤐
@SitiSarah-yk5tx,2024-07-10T01:24:53Z,27,"Seorang ibu punya anak umur 4th. Nonton ini sambil berdoa. Semoga anakku di karunai allah otak yang cerdas❤.. aamiin

Ini tontonan yang membakar semangat untuk terus belajar...❤❤❤❤"
@AmaliaCandraPermata,2024-07-10T01:08:16Z,0,"Lohh ini emang belom ada sandy, xaviera ya dkk ya??"
@Chiki_Bap,2024-07-10T01:05:59Z,0,"Ini loh Orang2 yg harusnya ngurus negara. Cara menyelesaikan masalahnya ituloh..... otaknya di pake...  
Hahaha.... ngerti sendiri aja dah yah...
#CintaIndonesia
Gimana ini Nusantara...."
@storylovers-ep6of,2024-07-10T00:53:41Z,0,Keren2 banget kalian hebattttt❤❤❤❤❤
@putridevi2944,2024-07-10T00:45:58Z,0,"nangis bangga nonton nya, terharu bgt ih"
@rachmaputri9387,2024-07-10T00:31:28Z,0,"Baru nonton awalan ,sebutin semua prestasinya ,bikin wow😮😂kerennn pinter²🎉"
@NurFatimah-w8q,2024-07-10T00:12:55Z,0,Keren semoga bisa juga
@Unique21066,2024-07-10T00:09:09Z,0,"Wah, lihat bareng anak.. adrenalin naik dong berdua.. wow wow terus.."
@arumerischawidyowati5758,2024-07-09T23:57:57Z,0,🔥🔥🔥
@teresniati2892,2024-07-09T23:23:08Z,0,"Yg gagal gapapa, yg penting kalian udh nyobaaa, semangatt"
@Auuuuuffqq,2024-07-09T23:19:36Z,0,"Enak yah jdi mreka, klo ikut soal psikotes kerja tinggal sat set sat sett, gua bru liat soal udh sholawatan😭"
@vanzqtb,2024-07-09T21:25:56Z,0,Kalo ga viral parah sihh
@adamfelix809,2024-07-09T21:22:38Z,0,yg teknik sipil udh kebanyakan pake kalku😂
@bagus_p1783,2024-07-09T19:55:48Z,1,Takut dihujat? No no no guys ❤ kalian disana itu sudah merupakan prestasi ❤
@AbdulHadi-zw2gs,2024-07-09T19:11:21Z,0,"Tim yg nonton karena FYP 😂
padahal kaga ngerti haha"
@bahiyofficial,2024-07-09T18:53:00Z,0,"Saya juga punya bimbel, Bahiy Bimbel sekrang ada 2 , & masih membuka 1 lagi insyaallah"
@sinyenvallen2664,2024-07-09T18:50:34Z,1,"anjir,dengkul gua panas nonton ginian"
@mohamadrifkifadillah3299,2024-07-09T17:53:30Z,1,"akhirnya ada konten sosmed yang sangat sangat sangat edukasi,gak drama artis,joget joget gajelas"
@ishlahhanifa9870,2024-07-09T17:45:55Z,0,Aaaaa seruuuuu jadi pengen ngerjain soalnya juga 😍😍😍
@paguyubankesenianpaksi,2024-07-09T17:42:50Z,0,Luar biasa
@wiwinpurnama5846,2024-07-09T17:23:44Z,0,Yesayaa😂😂😂😂
@yaniasyiani7627,2024-07-09T17:20:44Z,1,Keren banget kayanya kalo aku di sana udah nyerah 😂😂
@bahujalanbaroe5843,2024-07-09T17:16:54Z,1,yang keek gini harus viral tuuu
@deacyntikausmed4435,2024-07-09T17:10:57Z,4,"plis banyakin acara yg kek begini, jadi anak2 skrg tu lebih teredukasi dan termotivasi"
@nurulkhikmah9036,2024-07-09T16:55:38Z,1,Kerennnn semoga semakin banyaj acara seperti ini  buat buktiin kalau kualitas sdm kita indonesia itu gak melulu yg sekedar viral menye-menye aja
@Chandrakumara07,2024-07-09T16:55:26Z,0,Rounde pertama hitungan palng cepat sih menurut ku menghitung dari ujung Kiri di jumlah hinggah ujung Kanan Bawah Benar nggk sih?
@queendian1236,2024-07-09T16:33:37Z,0,"MasyaAllah,kagum n bangga liat anak2 pintar kumpul disini❤😊"
@nurpadila0215,2024-07-09T16:28:04Z,0,"Ngeri sihhh, keren2 parahh"
@marcheliayusa3063,2024-07-09T16:02:15Z,0,Nonton ini seperti semangat buat belajar dan harus melampaui diri sendiri
@annisaghina4030,2024-07-09T15:45:25Z,0,Apa ya motivasi mereka bisa terus semangat belajar dan gmn mereka menghadapi materi yg sulit ( tiap materi tentu ada bagian yg mudah dan yg sulit )😊
@user-ve4lk8mo4r,2024-07-09T15:45:18Z,1,Lebih ke sedih sih liat yg gagal karena dina bkl down bgt😢
@m.usroturridhoin2053,2024-07-09T15:43:20Z,1,yesaya sombong bet njir bahasanya
@MutiaAmelia,2024-07-09T15:38:50Z,0,Heiii.. kalian anak anak hebat. Ngga usah takut sama netizen yang halahhalah ini~ kereeeeen Indonesia Emas 🎉🎉
@enimunawaroh3503,2024-07-09T15:38:20Z,0,Kok Sandy di episode 2 gak ada ya sama Axel
@user-ex3wj7tk1q,2024-07-09T15:37:30Z,0,Kalo bisa tampilkan di Netflix dan loklok tuh
@Dellce__yuliaaaa,2024-07-09T15:26:06Z,0,Keren banget please😭
@BabyLiesandi,2024-07-09T15:25:30Z,0,Mau tanya dong yg statistika itu knp gak ada info GPA nya ya?
@BabyLiesandi,2024-07-09T15:24:31Z,0,Mau tanya dong yg statistika itu knp gak ada info GPA nya ya?
@BabyLiesandi,2024-07-09T15:24:17Z,0,Mau tanya yg statistika itu knp gak ada info GPA nya ya?
@BabyLiesandi,2024-07-09T15:23:48Z,0,Mau tanya yg statistika itu knp gak ada info GPA nya ya?
@BabyLiesandi,2024-07-09T15:23:37Z,0,Mau tanya yg statistika itu knp gak ada info GPA nya ya?
@BabyLiesandi,2024-07-09T15:23:30Z,0,Mau tanya yg statistika itu knp gak ada info GPA nya ya?
@zakiyatulimsadiyah642,2024-07-09T15:20:34Z,0,pengen jadi pengisi suaranyaaaa dongg
@yulifebriani9996,2024-07-09T15:20:33Z,0,Maa syaa allah ikutan degdegan.. Seruuuu liatnya 🔥🔥 Seharusnya yang viral tuh yang kya gini.. Lebih bermutu👍🔥🔥
@delapuka7587,2024-07-09T15:19:46Z,0,Kereeenn ih
@djang6805,2024-07-09T15:16:17Z,0,"Di konoha bpk mu Bukan presiden kamu hanya sebatas sayur asem tanpa garem,  mending org2 jenius seperti kerja di luar negeri aja pasti lebih di hargai"
@lulusilvian,2024-07-09T15:07:45Z,0,DOAIN AKU SUPAYA BISAAA KAYAKKK MEREKAA YAAAA!
@nailatulizza6014,2024-07-09T15:04:05Z,0,orang2 pinter ini pada minat jd guru ga ya
@nailatulizza6014,2024-07-09T14:57:40Z,0,uin gusdur mana nih
@itajuriatiputria4440,2024-07-09T14:51:36Z,0,Nah gtu dong indonesia bikin acara yang mendidik. Walau ini seperti yg di korea tp keren alurnya
@HanikaYajsali,2024-07-09T14:46:27Z,0,Channel yang sangat membantu
@Gitaagit02,2024-07-09T14:42:01Z,0,Ini lohhhh tontonam yg kayak gini maksudnyaa yg harus dipertahankan 😍
@megasrigunawan9062,2024-07-09T14:38:25Z,0,Berasa di squid games
@putrinubu,2024-07-09T14:33:56Z,0,"Aaaa keren-keren bgttttt, panutannn❤❤❤"
@pinkishb3ar,2024-07-09T14:33:00Z,0,"aku ikut ngerasa keren bjir, padahal cuma rebahann 😓😓😓"
@pinkishb3ar,2024-07-09T14:32:29Z,0,NONTON COC BENERANN SESERUUUU ITUUUUUUU
@Amelindaw,2024-07-09T14:26:31Z,0,Nah cakep nih yg begini bermutuuu saatnya yg pinter yg di ekspos
@Mittsyn,2024-07-09T14:25:27Z,0,Show indo yg aku senangin cm family 100 sm take me out 😂😂😂
@muhibnuhidayat3689,2024-07-09T14:25:23Z,0,11:09 wow 13 jurnal terindeks scopus 😮😮😮
@sitinjaulauikviralsukses,2024-07-09T14:23:11Z,0,"UNAND satu-satunya kampus perwakilan di Sumatera, bangga jadi orang Padang."
@haritsdwidestianto9711,2024-07-09T14:18:04Z,0,KERENN
@rimaninditya2111,2024-07-09T14:17:16Z,0,Akhirnyaaa versi indo ada jugaa🤧🤧 yokk makin banyak lagi variety show yg bermutu kyk gini..karna Indonesia butuh generasi muda yg berkualitas 💪
@NovaIndriani-p7u,2024-07-09T14:17:11Z,0,"Aku gk pinter, tapi seru liat org pinter 😂 olah raga otak dikit ya 🤣"
@lisaardhyagarini176,2024-07-09T14:15:27Z,0,Usu mn 😅😂
@chocochia8888,2024-07-09T14:07:59Z,1,This competition lacks batak talents.wonder why 😏
@asaawdd,2024-07-09T14:03:19Z,0,insecuree sama kepinteran merekaaa
@somethingunique4899,2024-07-09T14:02:07Z,0,Merinding 😭
@user-xc7ik4ms3w,2024-07-09T14:00:30Z,0,Udah mirip yg korea ❤
@intanpuspitata8057,2024-07-09T13:49:12Z,0,Sama kayak university war tapi versi indo 👍
@pujirahayu4320,2024-07-09T13:44:58Z,0,Mudah mudahan org² cerdas ky gini nntinya tidak memanfaatkan ilmunya buat hal yg gabaik😢. Klo bisa justru berbagi ilmunya biar bnyk generasi² cerdas
@retianamazuin3674,2024-07-09T13:43:00Z,0,Suka lihat orang2 pinter semoga anak2 q nanti seperti mereka🙏🏻🙏🏻
@rayeljunior9498,2024-07-09T13:41:34Z,0,"Saya bodoh, tapi saya suka melihat mereka yg otaknya diatas rata2..."
@risdalena3564,2024-07-09T13:39:33Z,0,KALIAN YANG PINTER AKU YANG BANGGA BGTT LIATNYAA❤❤
@raybynbrothers3232,2024-07-09T13:34:59Z,0,Ini 6jt views dlm 10 hari kok g masuk trending ya. Apa sih yg di mau yutub 😂
@nairanaira1237,2024-07-09T13:31:02Z,1,Pasti orang tuanya bangga bgt...terus semangat anak pintar
@ummbeyza7199,2024-07-09T13:25:59Z,0,Pertama kali nonton
@nurmadiaismail3410,2024-07-09T13:25:06Z,0,Walaupun tereliminasi kalian tetap hebat.....
@psychxh0504,2024-07-09T13:22:23Z,0,"Baru perkenalan si Naufal aja langsung tercengang, hebat2 banget temen2 ini"
@JohannesSitinjak,2024-07-09T13:20:05Z,15,Ini acara harus di viralin!agar anank anak bangsa Indonesia niat belajarnya semakin meningkat.
@risasenja1579,2024-07-09T13:19:03Z,0,Aku terharu gaes....udah lama gak nonton acara berkualitas😢
@velllxx,2024-07-09T13:19:01Z,0,tambahin eng sub pld
@samrotulchoiriah,2024-07-09T13:16:16Z,0,38:17 jokes anak cumlaude emang beda 😆
@atikp278,2024-07-09T13:15:36Z,0,Ruang guru keren bangett sii
@ot7alltheway842,2024-07-09T13:12:02Z,0,"Beh suka nih, vibes nya kayak University War Korea.... Kerennnnnnnnnnn"
@HamidaMida-kq6qv,2024-07-09T13:10:14Z,1,Tips pintar kayak gitu 😢😅
@angelynjohnmessakh2747,2024-07-09T13:08:13Z,0,Kerenn bangeett indonesia mestii banyak acara kek giniii…!!
@YeniVela24,2024-07-09T13:05:16Z,0,"Ya Alloh pintar Cerdas semuaa, bangga bgt liatnya🥲 biarpun saya ga pintar pintar amat, semoga besok  punya anak pintarnya kya kaka kaka ini ❤😇"
@Brave-k5o,2024-07-09T13:03:37Z,0,Edward langsung kalah ae udh
@Mamimumemo-u5b,2024-07-09T13:02:17Z,0,Jujur aku minderr banged sama cewe pinterr dan genius nimbang cewe cantik
@Lisa_chan10,2024-07-09T13:02:09Z,0,Kenapa ga banyakin acara kaya gini sih.. menampilkan banyak orang dengan prestasi positif... bosan liat artis pamer ngehujat dan viral yang ga ngasah otak
@by_sefka,2024-07-09T13:01:23Z,0,Ikut deg deg an 😂
@wslvarh,2024-07-09T12:44:43Z,0,"Acara kayak gini perlu dibanyakin, atau terus dilanjutkan berseason-season kalo perlu. Utk nandingin acara gak edukatif yg terlalu berseliweran"
@jayaaquariumpetshop88,2024-07-09T12:42:00Z,0,Ubaya ada gak ya??
@vivivivi9612,2024-07-09T12:39:13Z,0,Timmm deg degan plisss
@sylviarahmawati9734,2024-07-09T12:38:05Z,0,Kebanyakan merinding nonton acara beginian 😂😂😂😂
@nendenpujasari9049,2024-07-09T12:37:53Z,0,"Aku bangga loh sama kalian, keren👍👍👍👍"
@nadyadfh4978,2024-07-09T12:35:56Z,0,kalian kereeen🥹🥹
@utamims5536,2024-07-09T12:33:40Z,0,UNIVERSITAS SRIWIJAYA tidak ada 🤭
@MuhajirZir002,2024-07-09T12:28:49Z,0,YAALLAHMOGA PINTARNNYA NULAR PLISSS😍😍😍
@SatihKasari,2024-07-09T12:24:12Z,0,"Tontonan adalah tuntutan,"
@YolaDertika,2024-07-09T12:17:15Z,0,"Maxwel medok banget wkwkw ,sukaaa lucuu"
@muhammadarifinilham2314,2024-07-09T12:12:41Z,0,Jawabannya 1000 sampe 3000 mana mungkin 800 atau 900 dan 500
@inggritmarkus8810,2024-07-09T12:08:49Z,0,"Plis jangan ada yg gehujat merekaaa woyyy, otak mereka diatas rata2 🎉🎉🎉🎉🎉🎉"
@ridhoamaliyah5995,2024-07-09T12:06:57Z,0,"Terakhir lht acara spt ini pas aku msh SD ada 2 acara, pertama digital LG prima dan kuis Galileo Galilei, hayoo anak 90an siapa yg mash ingat"
@masheru-pq2un,2024-07-09T12:05:59Z,0,MasyaAllah moga pinternya  nular ke anak2ku❤
@VidiaAstutik,2024-07-09T11:55:14Z,0,Buat yang tidak lolos semangat..kamu hebat sudah bisa mewakili universitas kalian
@alfajackcomedy,2024-07-09T11:34:08Z,1662,Kayaknya seru kalau para influencer dan selebgram di adu disini. biar follower mereka tau orang yang mereka ikuti manusia kosong atau bukan. yeay
@eldayanuar6141,2024-07-09T11:09:16Z,0,KEREN BANGEETTTTT
@rebylisa8737,2024-07-09T11:03:12Z,1,"Sebagai anak Sastra cuma mau bilang, orang pinter itu bukan hanya yang pinter hitung2an 😆

Hahahaha"
@AmsalMrp,2024-07-09T10:56:46Z,0,🔥🔥🔥
@dianmardiana4061,2024-07-09T10:39:16Z,0,"Gmn mau hujat adek, kita aja bodo2. 😂 IPK aja yg pnting lulus 😂"
@juniartha313,2024-07-09T10:37:56Z,0,"Diantara semua disini, gw yang paling genius😊"
@SofiaKhoirunnisa-ce6qb,2024-07-09T10:36:03Z,0,Serruuuuu❤
@muhammadrevalalfaruq7931,2024-07-09T10:32:34Z,0,Kenapa orang ganteng jarang ada yg pinter ya ?
@moh.abdullatief2170,2024-07-09T10:31:32Z,0,Merinding
@meong.cantik1812,2024-07-09T10:28:28Z,0,Sumpah ini program yg luar biasa menrik bnget buat anak*.. Perbanyak program kaya gini jngn sinetron terus😢
@khusnulkhotimah-fi2mm,2024-07-09T10:25:38Z,0,Walopun gak pinter tapi kagum sama orang2 pinter
@jumardipgsd3790,2024-07-09T10:23:20Z,0,Ada teknk tyuu
@ridwan.g,2024-07-09T10:22:58Z,0,piala yg di opening mirip piala ucl njir
@ciarareziaauryel,2024-07-09T10:14:47Z,0,sedih liat emildaa 😞☹👍
@sapphireblue_1305,2024-07-09T10:04:00Z,0,university war versi indonesia 😍
@astrianageny8939,2024-07-09T10:01:32Z,0,Aaaa keren bangattt🥺
@user-ot3zq5sm7e,2024-07-09T10:00:05Z,0,Coba psikotes pt kek gini kelar kita 🤣
@mukrimunapadli6908,2024-07-09T09:52:17Z,0,Ikut merinding gak sihh
@Zulk8,2024-07-09T09:42:26Z,0,Ini tes mau masuk akpol dan akmil
@DITAROFIAH-hm6sv,2024-07-09T09:37:48Z,0,"pesona pesona orang pinter ,,bikin merinding"
@AoiRuna-z8w,2024-07-09T09:28:41Z,0,"Aku juga pernah pas lamar kerja, interview rame an salah satu tesnya juga begini😭 tapi ga sebanyak itu sih paling cuma 100-200 angka aja"
@laelatulkhoiriyyah7889,2024-07-09T09:27:21Z,0,"semoga acara ini langgeng, sampe besok aku nikah punya anak, ku berikan tontonan spt ini❤"
@muhammadabdulhanif454,2024-07-09T09:21:28Z,0,Yesaya sombong di awal ya hahaha
@witakumalasari985,2024-07-09T09:20:11Z,0,Seharusnya program yang spt ini yang viral
@reyliem08,2024-07-09T09:12:35Z,0,"pingin download soal2nya nih, buat latian"
@siswanjr7808,2024-07-09T08:57:21Z,169,"Plis buat yg lain tertarik bikin acara kaya gini, warga indo butuh. Libatin orang² jenius, bukan yg terkenal sensasi nya doang.."
@zumiokee2051,2024-07-09T08:52:22Z,0,"Ini isinya org pinter semua. Semoga ada wadah semacam ini buat semua bidang keilmuan, ga cuma dibilang aritmatika. Aku tau sih ada banyak yg pinter di bidang lain tapi jg linter di materi perhitungan, tapi tempat buat yg ga bisa hitung tapi pinter di kelilmuan yg lain jg kayaknya oerlu di ekspos. Biar banyak yg mau belajar lg"
@RahayuIngka,2024-07-09T08:49:57Z,0,Kereeeennn..
@colourful_stars,2024-07-09T08:45:15Z,0,sarah tadi tidak memperkenalkan diri ya?
@Anggadwipangestu_17,2024-07-09T08:38:48Z,0,Otaknya komputer
@ananan4905,2024-07-09T08:31:30Z,0,"ini baruuuuuu kerenn...  mengikuti jaman ngikutin tren visualnya enak diliat keren lah. 
memotivasi anak2 muda"
@user-gh3uc5pc2s,2024-07-09T08:11:08Z,0,"Aku itu termasuk orang yg paling gak suka matematika dan selalu gagal di matematika, selalu dikatain bodoh dibidang matematika tapi gak pernah mau berenti belajar matematika. Supaya nanti anak ku bisa jago matematika  dibanding ibu nya😊"
@titindjiti6380,2024-07-09T08:07:17Z,0,Yang gagal tetap semangat harus bangga karena udh ngikut kompetisi nya
@huntingmainananak8583,2024-07-09T07:44:26Z,0,Keren
@nineathena9358,2024-07-09T07:35:23Z,0,RuangBK
@afifahikrammufidaa961,2024-07-09T07:33:03Z,0,"Semoga anakku bisa secerdas ini, emak emak nonton CoC, kepikiran anaknya, soale dulu emaknya matematik ngang ngong😅"
@fajarshiddiq4679,2024-07-09T07:32:41Z,0,extreme addition tuh kaya soal psikotest ga si ?
@Alyssaaaa_sa,2024-07-09T07:24:21Z,1,"MASYAALLAH KERENNNN SEKALIIIIIIII,PROUDDDDDDD👏🏻👏🏻👏🏻👏🏻"
@Natasyaaa10,2024-07-09T07:22:19Z,1,"Pernah nnton reality show University War di loklok, persis bgt kayak gini 😊"
@vhilagrestiya1432,2024-07-09T07:12:19Z,1,Sangat menghibur kebodohanku
@firdananiam6100,2024-07-09T07:07:09Z,0,"Terus semangat bikin acara acara mendidik seperti ini, please"
@fayatshafar3607,2024-07-09T07:06:28Z,1,Maudy dari UI dan Oliv dari Binus gagal to.. Rea dari ITB dan Nana dari UGM yang menang Game kok malah di eliminasi? Ada yang bisa jelasin? 😅
@biyya3953,2024-07-09T07:04:52Z,0,Ibnu 3.98...dpt dri mana tuh..? .wkwkw😂
@erameyta3267,2024-07-09T06:59:13Z,0,Mirip acara University war ya? 😂
@annisafaradilla5325,2024-07-09T06:56:34Z,1,UNJ kok gaada sih wokwokwowkok
@thia_marcus3643,2024-07-09T06:53:09Z,0,KEREN BGT RUANG GURU🎉🎉❤❤❤
@krisaneka6378,2024-07-09T06:53:01Z,0,"Aku disana liat orang"" yg lolos langsung keringet dingin pengen berak,kencing,mual coyyyy 😂😂😂"
@lennymanalu3405,2024-07-09T06:30:59Z,0,Iiat adek2 ini. .. Jd kangen kul lg 🤭🤭
@retnosulis8249,2024-07-09T06:19:59Z,0,Senengnya liat orang pinter
@yulinadesrihariaty6552,2024-07-09T06:11:36Z,0,teman teman semuanya hebat kok
@dhafinramadhan872,2024-07-09T06:10:21Z,0,"Anak pintar mukanya g songong""yq"
@ratnachannel4742,2024-07-09T06:08:27Z,0,Ga tau kenapa kalo liat orang pinter tuh bawaannya pen nangis karena kagum
@haruglory1751,2024-07-09T06:06:24Z,0,Wah keren ada acara seperti ini di Indo. Pernah nonton dulu yg korea.
@haffizhofficial2347,2024-07-09T06:05:08Z,0,"Buat yg kalah di babak ini, semangat terus ya.. kecewa pasti iya tapi kalian hebat sudah bisa duduk di situ"
@yanamio1583,2024-07-09T06:04:55Z,0,Bismillah semoga anakku pinter2 kayak gini ..aamiin❤
@Zultebaekmang,2024-07-09T06:04:35Z,0,Sepuh berkacamata 👑
@helminurulwahid2758,2024-07-09T05:58:34Z,0,Mau kumpulan soal COC dong guys
@citradewi05,2024-07-09T05:58:26Z,0,Siapa disini yg nntonya ttp pake subtitle pdhl udah b indo loh.. Kebiasaan nonton korea ver nya
@lestarisamosir5955,2024-07-09T05:57:53Z,0,Seketika langsung down melihat otak ku yang paspasan😢😂
@acengkiki3586,2024-07-09T05:56:04Z,0,Ada konten tentang fix mindset growth mindset ga ya ?
@muthiaisyah,2024-07-09T05:55:49Z,0,"definisi diatas langit masih ada langit :"")"
@ilyasnursyaifudin6465,2024-07-09T05:52:45Z,0,Ayo sandy
@nurvianawulandari744,2024-07-09T05:52:18Z,1,Yang jd kemendikbud malah org gojek
@Analis-z6r,2024-07-09T05:50:36Z,0,buat antar SMA seindonesia dong
@Jayarayasolution-ju5el,2024-07-09T05:45:03Z,0,Buat yang blum berhasil kalian hebat kok
@dhaniaayska286,2024-07-09T05:33:25Z,0,KAK SHAKIRA AKU NGEFANSSSS BGT😭😭😭💗
@aisyahsaja2009,2024-07-09T05:26:55Z,0,Gua ga pinter tapi semoga anak gua nanti jadi anak pinter
@awiwawi2002,2024-07-09T05:21:49Z,0,"itu yg extreme addition yg round 2 tuh gambang,,pola sama samua..cuma divideo ini ada 1 pola yekan yg beda..pernah coba soal yg di round 2 itu dari nyokap yg ngetest otak gw tuh bekerja atau engga"
@novianbuditama7802,2024-07-09T05:18:44Z,0,Keren
@angelinaagnes7787,2024-07-09T05:15:23Z,0,Ayo buat yang versi politeknikk
@Ramerasanya,2024-07-09T05:15:16Z,0,Yasaya jgn jumawa gitu 😢
@supriman69,2024-07-09T05:12:01Z,0,SUMPAH!!!!! keren bngt acara ini.....👍👍👍👍
@riezkyaadler6802,2024-07-09T04:57:27Z,0,VIRALKAN ACARANYA GES
@asepsaepudin3749,2024-07-09T04:54:16Z,0,"Keren, tontonan baru nemenin makan"
@RasyikahDzihniLarasati,2024-07-09T04:54:10Z,0,kerennnnn 🔥🔥🔥🔥🔥🔥
@emiliahambu8989,2024-07-09T04:48:16Z,0,Ini acara keren banget sumpah
@MuhamadRizal-v7l,2024-07-09T04:42:13Z,0,Kerenn parahhh ❤❤❤
@kinkinlarisyaaurelhidayat9548,2024-07-09T04:39:33Z,0,TEGANGNYA SAMPE SINII
@tiaOktaviani-rx6bv,2024-07-09T04:38:34Z,1,"Kasih tau gua dong ,, Ema"" nya pada ngasih makan apaan ya ?? Plis kasih tau serius wkwkw"
@hppnss_xx17,2024-07-09T04:37:00Z,1,PLEASE PROVIDE ENG SUB FOR THE INTERNATIONAL FANS! I KNOW I'M NOT THE ONLY ONE!
@MuhammadDhafir-q9i,2024-07-09T04:29:43Z,177,Ada yang nangis terharu ga ngeliat mereka? Kek nyesel kenapa dlu ga belajar yg bener pdhl sebenernya kita punya potensi cuma kehalang support orang tua
@hppnss_xx17,2024-07-09T04:23:57Z,0,Where to watch with eng subbb?
@arimajidsonhaji9075,2024-07-09T04:20:50Z,0,"Yah Emilda gk lolos :' tetep semangat. Tetep keren banget, udah ngikutin kiprah dia dari SMP hehe"
@ejenali_dasigantung,2024-07-09T04:19:18Z,274,Aku yg masih SMP aja tertarik banget liat beginian. Semoga pas lulus SMA nanti aku juga bisa jdi kayak kakak² pinter di Clash of Champions ❤
@wijaya8379,2024-07-09T04:08:47Z,0,"Bangsa Indonesia kaya akan orang pandai, tapi..."
@bara2636,2024-07-09T04:02:46Z,40,harus banyak acara2 sperti ini biar 90% orang termotivasi untuk kuliah. karena pemuda di indonesia yg lanjut kuliah hanya 10% miris sekali
@user-ve1vu3uw1p,2024-07-09T04:01:09Z,0,Yang gak lolos pun ttp pada pinter²
@amaliahidayati1152,2024-07-09T04:00:58Z,0,jadi pengen kuliah lagi gue
@yuutouy,2024-07-09T04:00:52Z,0,nonton coc jadi semangat belajar wkwkwk
@pratiwidwilestari295,2024-07-09T04:00:10Z,0,BANYAKIN EPISODE NYA PLEASE !!
@jusfranademulia2532,2024-07-09T03:59:51Z,0,Ke sini mau liat bang hanif GPA 4.0 Matematika
@bd__________,2024-07-09T03:47:39Z,0,Banyak bet yang dari UI yg lolos
@nawangsaripermatadewi2660,2024-07-09T03:45:34Z,0,saking pada pinternya nonton ini kok gw malah nangis ya
@kaindeagaul4189,2024-07-09T03:45:27Z,0,Keren keren COC
@WahyuKurniawan-eg1eh,2024-07-09T03:38:37Z,0,Gwe aja yang smk tidur terus pling eliminasi😂
@Azka-gx5sz,2024-07-09T03:37:07Z,0,Ini mereka makan apa ya 😭
@user-nq8wc6rr9g,2024-07-09T03:28:12Z,0,"Ada yg janggal apa aku kurang teliti, waktu ibnu masukin kan sisa 1 slot, yg masuk Licca kok Oliv ikut masuk ya di diagram yg ditampilkan?"
@yayyaaa68,2024-07-09T03:27:41Z,0,kemaren aku ikut ksm(kompetisi sain madrasah ) juara ke 2 SE kabupaten  sekarang mau lomba lagi ke provinsi
@karin.12oct,2024-07-09T03:23:22Z,0,gak lolos gpp kalian hebat banget
@whiteforest5795,2024-07-09T03:10:31Z,0,Keren banget🎉
@RANDOM-VIDIO.545,2024-07-09T02:58:14Z,1,"Tim yg rajin belajar 
👇"
